dataelementUID,period,orgUnitUID,categoryOptionComboUID,ImplementingMechanismUID,dataValue,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,32,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,106,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,87,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,55,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,20,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,6,,
R6BJK9kAjtA,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
yHHWaNDFzES,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
yHHWaNDFzES,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
yHHWaNDFzES,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
yHHWaNDFzES,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
yHHWaNDFzES,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,32,,
yHHWaNDFzES,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,106,,
